Name,UserID,Area_Of_Expertise_1,Area_Of_Expertise_2,Area_Of_Expertise_3,Area_Of_Expertise_4,Area_Of_Expertise_5,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Alessandro Vespignani,U3CXAPsAAAAJ,Network Science,Computational Epidemiology,Data Science,Statistical Physics,Complex Systems,,,,,,,,,,242,258,535,641,882,1340,1728,2026,2223,2390,2620,3044,3544,4095
Don Towsley,KIFPVWoAAAAJ,networking,network science,performance evaluation,,,348,356,430,541,556,591,743,970,1192,1546,1929,2439,2971,3509,3763,3919,3956,3672,3822,3866,3489,3398,3393
Nicholas A. Christakis,sR_OzkgAAAAJ,network science,sociology,behavior genetics,social networks,public health,,,,,,,,,182,279,447,569,613,749,805,983,1151,1539,1891,2529,3368,3927,4648
Nitesh V Chawla,hDLBEhkAAAAJ,Data science,machine learning,network science,,,,,,,,,,,,,,,,,152,261,288,424,581,707,969,1235,1532
Alex `Sandy' Pentland,P4nfoKYAAAAJ,Social Physics,Honest Signals,Computational Social Science,Network and Complexity Science,Wearable Computing,,568,649,948,1092,1534,1877,2318,2496,2738,3051,3398,3641,4025,4684,4665,4803,4821,5252,5355,5611,6207,6515
Bruce Kogut,EhZrLdAAAAAJ,Comparative Governance,Computational Social Science,Organizations,,,,,268,329,414,608,759,953,1088,1507,1702,2064,2546,2814,3150,3533,3956,4249,4471,4611,4635,4832,5042
Dirk Helbing,ebrNfPAAAAAJ,computational social science,complex systems,digital democracy,statistical physics,intelligent transportation systems,,,,,,,,,210,335,406,603,786,835,928,1190,1483,1713,2244,2597,2868,3798,4363
Dan Jurafsky,uZg9l58AAAAJ,Natural Language Processing,Speech Recognition,Computational Linguistics,Linguistics,Computational Social Science,,,,,,,,,,,299,400,625,839,922,1171,1248,1489,1687,2181,2311,2677,2755
Nello Cristianini,iPJvBGYAAAAJ,Artificial Intelligence,Machine Learning,Philosophy of Artificial Intelligence,Computational Social Science,,,,,,,,,,,253,521,921,1447,1795,2547,3024,3372,3546,3944,3709,3559,3754,3595
Jiebo Luo,CcbnBvgAAAAJ,AI,multimedia,computational social science,computational medicine,big data analytics,,,,,,,,,,,,,140,208,295,413,407,592,745,1054,1351,1593,1806
Lillian Lee,oJESe-cAAAAJ,all pubs hand-verified to be actually mine,natural language processing,computational linguistics,computational social science,,,,,,,,,,,,135,192,188,307,459,554,681,894,1135,1597,1786,2221,2590
